Item,MLS # Link,Status,Area,Address,Unit Number,Subdivision/Complex,List Price,#Beds,#FBaths,#HBaths,SqFt Liv Area, Association Fee ,Type of Property,Year Built,#Garage Spaces,Pool YN,Waterfront Property (Y/N), CurrentPrice/SqFt ,Entry Date,Days on Market,Propety Type,Rent Period,Furnished Info (List)
1,A10236602,A,41,1060 Brickell Avenue,1909,1060 Brickell,"$309,000 ",0,1,0,551, $384 ,Condo,2008,1,Yes,No, $560.80 ,3/6/2017 18:30,15,For Sale,,
1,A10077216,A,41,1050 Brickell Avenue,1622,1060 Brickell,"$265,000 ",0,1,0,604, $- ,Condo,2008,0,Yes,No, $438.74 ,5/3/2016 16:54,316,For Sale,,
1,A10077221,A,41,1050 Brickell Avenue,1912,1060 Brickell,"$265,000 ",0,1,0,601, $600 ,Condo,2008,0,Yes,No, $440.93 ,5/3/2016 16:57,316,For Sale,,
1,A10099382,A,41,1050 Brickell Avenue,2206,1060 Brickell,"$265,000 ",0,1,0,613, $409 ,Condo,2008,1,Yes,No, $432.30 ,6/13/2016 15:24,275,For Sale,,
1,A10232367,A,41,1050 Brickell Avenue,1922,1060 Brickell,"$259,900 ",0,1,0,604, $388 ,Condo,2008,1,Yes,No, $430.30 ,2/27/2017 18:16,16,For Sale,,
1,A10205454,A,41,1050 Brickell Avenue,3006,1060 Brickell,"$259,000 ",0,1,0,613, $405 ,Condo,2008,1,Yes,No, $422.51 ,1/11/2017 17:21,63,For Sale,,
1,A10082161,A,41,1050 Brickell Avenue,2012,1060 Brickell,"$258,000 ",0,1,0,601, $379 ,Condo,2008,1,Yes,No, $429.28 ,5/12/2016 13:23,308,For Sale,,
1,A10105745,A,41,1050 Brickell Avenue,2406,1060 Brickell,"$285,000 ",0,1,0,613, $409 ,Condo,2008,1,Yes,No, $464.93 ,6/28/2016 10:19,271,For Sale,,
1,A10232872,A,41,1060 Brickell Avenue,3613,1060 Brickell,"$375,000 ",1,1,0,945, $605 ,Condo,2008,1,Yes,No, $396.83 ,2/28/2017 15:23,15,For Sale,,
1,A10181790,A,41,1060 Brickell Avenue,1209,1060 Brickell,"$330,000 ",1,1,0,"1,088", $- ,Condo,2008,1,Yes,No, $303.01 ,11/18/2016 17:39,117,For Sale,,
1,A10144641,A,41,1050 Brickell Avenue,1702,1060 Brickell,"$360,000 ",1,1,0,843, $550 ,Condo,2008,1,Yes,No, $427.05 ,9/7/2016 17:06,189,For Sale,,
1,A10177857,A,41,1050 Brickell Avenue,2302,1060 Brickell,"$340,000 ",1,1,0,843, $567 ,Condo,2008,1,Yes,Yes, $403.32 ,11/11/2016 15:59,124,For Sale,,
1,A10201971,A,41,1050 Brickell Avenue,2410,1060 Brickell,"$329,000 ",1,1,0,843, $567 ,Condo,2008,1,Yes,No, $390.27 ,1/16/2017 17:34,69,For Sale,,
1,A10032510,A,41,1060 Brickell Avenue,2805,1060 Brickell,"$430,000 ",1,1,1,963, $655 ,Condo,2008,1,Yes,No, $446.52 ,2/11/2016 10:04,398,For Sale,,
1,A10197404,A,41,1060 Brickell Avenue,415,1060 Brickell,"$395,000 ",1,1,1,"1,053", $720 ,Condo,2008,1,Yes,No, $375.12 ,12/23/2016 12:15,84,For Sale,,
1,A10201400,A,41,1060 Brickell Avenue,3803,1060 Brickell,"$390,000 ",1,1,1,963, $655 ,Condo,2008,0,Yes,No, $404.98 ,1/4/2017 17:40,70,For Sale,,
1,A10210171,A,41,1060 Brickell Avenue,2603,1060 Brickell,"$375,000 ",1,1,1,963, $640 ,Condo,2008,1,Yes,No, $389.41 ,1/19/2017 15:08,55,For Sale,,
1,A10241492,A,41,1060 Brickell Avenue,2405,1060 Brickell,"$365,000 ",1,1,1,963, $639 ,Condo,2008,1,Yes,No, $379.02 ,3/14/2017 19:42,1,For Sale,,
1,A10189756,A,41,1060 Brickell Avenue,615,1060 Brickell,"$358,000 ",1,1,1,"1,053", $738 ,Condo,2008,1,Yes,No, $339.98 ,12/7/2016 9:32,98,For Sale,,
1,A10215229,A,41,1060 Brickell Avenue,1703,1060 Brickell,"$339,900 ",1,1,1,963, $630 ,Condo,2008,1,Yes,No, $352.96 ,1/30/2017 9:21,46,For Sale,,
1,A10214783,A,41,1060 Brickell Avenue,3305,1060 Brickell,"$333,000 ",1,1,1,963, $639 ,Condo,2008,1,Yes,No, $345.79 ,1/27/2017 9:48,47,For Sale,,
1,A10214775,A,41,1060 Brickell Avenue,3203,1060 Brickell,"$330,000 ",1,1,1,963, $639 ,Condo,2008,1,Yes,No, $342.68 ,1/27/2017 9:36,47,For Sale,,
1,A10230379,A,41,1060 Brickell Avenue,3205,1060 Brickell,"$330,000 ",1,1,1,963, $- ,Condo,2008,1,Yes,No, $342.68 ,2/23/2017 13:35,20,For Sale,,
1,A10214430,A,41,1060 Brickell Avenue,1205,1060 Brickell,"$310,000 ",1,1,1,963, $639 ,Condo,2008,1,Yes,No, $321.91 ,1/27/2017 9:12,48,For Sale,,
1,A1768184,A,41,1050 Brickell Avenue,222,1060 Brickell,"$399,000 ",1,1,1,"1,189", $845 ,Condo,2008,1,Yes,No, $335.58 ,4/2/2013 10:50,1450,For Sale,,
1,A1767872,A,41,1050 Brickell Avenue,218,1060 Brickell,"$379,000 ",1,1,1,972, $693 ,Condo,2008,1,Yes,No, $389.92 ,4/1/2013 16:07,1450,For Sale,,
1,A10236935,A,41,1050 Brickell Avenue,1616,1060 Brickell,"$347,400 ",1,1,1,"1,128", $827 ,Condo,2008,1,Yes,No, $307.98 ,3/7/2017 12:34,8,For Sale,,
1,A10177381,A,41,1050 Brickell Avenue,3018,1060 Brickell,"$345,000 ",1,1,1,"1,128", $873 ,Condo,2008,1,Yes,No, $305.85 ,11/10/2016 16:48,125,For Sale,,
1,A10182444,A,41,1050 Brickell Avenue,2016,1060 Brickell,"$327,000 ",1,1,1,"1,128", $827 ,Condo,2008,0,Yes,No, $289.89 ,11/21/2016 13:17,114,For Sale,,
1,A10177341,A,41,1050 Brickell Avenue,2616,1060 Brickell,"$315,000 ",1,1,1,"1,128", $827 ,Condo,2008,1,Yes,No, $279.26 ,11/10/2016 16:36,125,For Sale,,
1,A10161544,A,41,1050 Brickell Avenue,2104,1060 Brickell,"$330,000 ",1,1,,731, $- ,Condo,2008,1,Yes,No, $451.44 ,10/11/2016 17:14,155,For Sale,,
1,A10214008,A,41,1050 Brickell Avenue,2404,1060 Brickell,"$320,000 ",1,1,,731, $- ,Condo,2008,1,Yes,Yes, $437.76 ,1/26/2017 1:21,49,For Sale,,
1,A10210076,A,41,1060 Brickell Avenue,611,1060 Brickell,"$399,000 ",1,2,0,"1,147", $792 ,Condo,2008,1,Yes,No, $347.86 ,1/19/2017 12:37,55,For Sale,,
1,A10149702,A,41,1050 Brickell Avenue,812,1060 Brickell,"$420,000 ",1,2,0,"1,000", $- ,Condo,2008,1,Yes,No, $420.00 ,9/16/2016 16:20,180,For Sale,,
1,A10235388,A,41,1050 Brickell Avenue,814,1060 Brickell,"$400,000 ",1,2,0,"1,000", $782 ,Condo,2008,1,Yes,No, $400.00 ,3/3/2017 20:35,12,For Sale,,
1,A10111863,A,41,1050 Brickell Avenue,612,1060 Brickell,"$335,000 ",1,2,,"1,000", $693 ,Condo,2008,1,Yes,No, $335.00 ,7/7/2016 18:59,252,For Sale,,
1,A10110798,A,41,1060 Brickell Avenue,403,1060 Brickell,"$499,000 ",2,2,0,"1,440", $947 ,Condo,2008,1,Yes,No, $346.53 ,7/6/2016 9:44,252,For Sale,,
1,A10082721,A,41,1060 Brickell Avenue,3211,1060 Brickell,"$485,000 ",2,2,0,"1,088", $800 ,Condo,2008,1,Yes,No, $445.77 ,5/12/2016 18:35,307,For Sale,,
1,A10174087,A,41,1060 Brickell Avenue,3707,1060 Brickell,"$485,000 ",2,2,0,"1,088", $744 ,Condo,2008,1,Yes,No, $445.77 ,11/4/2016 13:45,131,For Sale,,
1,A10225272,A,41,1060 Brickell Avenue,3811,1060 Brickell,"$475,000 ",2,2,0,"1,088", $925 ,Condo,2008,1,Yes,No, $436.58 ,2/14/2017 14:41,29,For Sale,,
1,A10209238,A,41,1060 Brickell Avenue,3111,1060 Brickell,"$470,000 ",2,2,0,"1,088", $744 ,Condo,2008,1,Yes,No, $431.99 ,1/18/2017 12:10,56,For Sale,,
1,A10204385,A,41,1060 Brickell Avenue,2811,1060 Brickell,"$465,000 ",2,2,0,"1,088", $150 ,Condo,2008,1,Yes,No, $427.39 ,1/10/2017 13:13,64,For Sale,,
1,A10232844,A,41,1060 Brickell Avenue,1611,1060 Brickell,"$450,000 ",2,2,0,"1,088", $748 ,Condo,2008,1,Yes,No, $413.60 ,2/28/2017 14:06,15,For Sale,,
1,A10176667,A,41,1060 Brickell Avenue,1407,1060 Brickell,"$430,000 ",2,2,0,"1,088", $743 ,Condo,2008,1,Yes,No, $395.22 ,11/9/2016 16:34,126,For Sale,,
1,A1911236,A,41,1060 Brickell Avenue,2711,1060 Brickell,"$385,000 ",2,2,0,"1,088", $978 ,Condo,2008,1,Yes,No, $353.86 ,2/21/2014 13:48,1119,For Sale,,
1,A10117404,A,41,1060 Brickell Avenue,4101,1060 Brickell,"$595,000 ",2,2,1,"1,368", $900 ,Condo,2008,0,Yes,No, $434.94 ,7/18/2016 13:12,240,For Sale,,
1,A10180326,A,41,1060 Brickell Avenue,3917,1060 Brickell,"$580,000 ",2,2,1,"1,368", $900 ,Condo,2008,1,Yes,No, $423.98 ,11/16/2016 16:28,119,For Sale,,
1,A10167145,A,41,1060 Brickell Avenue,3401,1060 Brickell,"$550,000 ",2,2,1,"1,368", $930 ,Condo,2008,1,Yes,No, $402.05 ,10/21/2016 18:52,149,For Sale,,
1,A10229228,A,41,1060 Brickell Avenue,3517,1060 Brickell,"$550,000 ",2,2,1,"1,368", $930 ,Condo,2008,1,Yes,No, $402.05 ,2/21/2017 17:16,22,For Sale,,
1,A10230532,A,41,1060 Brickell Avenue,1917,1060 Brickell,"$540,000 ",2,2,1,"1,368", $900 ,Condo,2008,1,Yes,No, $394.74 ,2/23/2017 15:45,20,For Sale,,
1,A10201392,A,41,1060 Brickell Avenue,2217,1060 Brickell,"$485,000 ",2,2,1,"1,368", $930 ,Condo,2008,1,Yes,No, $354.53 ,1/4/2017 17:25,70,For Sale,,
1,A10195406,A,41,1050 Brickell Avenue,1820,1060 Brickell,"$525,000 ",2,2,1,"1,268", $744 ,Condo,2008,1,Yes,No, $414.04 ,12/19/2016 12:23,86,For Sale,,
1,A10212654,A,41,1050 Brickell Avenue,2220,1060 Brickell,"$475,000 ",2,2,1,"1,268", $827 ,Condo,2008,1,Yes,No, $374.61 ,1/24/2017 12:14,50,For Sale,,
1,A10195690,A,41,1050 Brickell Avenue,1720,1060 Brickell,"$439,888 ",2,2,1,"1,288", $827 ,Condo,2008,1,Yes,No, $341.53 ,12/19/2016 16:45,296,For Sale,,
1,F10055806,A,41,1050 Brickell Avenue,2520,1060 Brickell,"$435,000 ",2,2,1,"1,288", $825 ,Condo,2008,1,Yes,No, $337.73 ,3/3/2017 14:03,11,For Sale,,
1,A10194863,A,41,1060 Brickell Avenue,4209,1060 Brickell,"$899,999 ",2,3,0,"1,987", $- ,Condo,2008,1,Yes,No, $452.94 ,12/16/2016 19:23,89,For Sale,,
1,A10233515,A,41,1060 Brickell Avenue,4407,1060 Brickell,"$1,095,000 ",3,3,0,"1,867"," $1,223 ",Condo,2008,1,Yes,No, $586.50 ,3/1/2017 13:59,14,For Sale,,
1,A10156118,A,41,1060 Brickell Avenue,4503,1060 Brickell,"$1,750,000 ",3,3,1,"2,525"," $1,662 ",Condo,2008,2,Yes,No, $693.07 ,9/29/2016 10:13,167,For Sale,,
1,A10019932,A,41,1060 Brickell Avenue,4507,1060 Brickell,"$1,395,000 ",3,3,1,"2,564"," $1,662 ",Condo,2008,2,Yes,No, $450.44 ,1/20/2016 17:29,419,For Sale,,
1,A10225373,A,41,1050 Brickell Avenue,3506,1060 Brickell,"$1,249,000 ",3,3,1,"2,238"," $1,509 ",Condo,2008,2,Yes,No, $558.09 ,2/14/2017 17:23,29,For Sale,,
1,A10241193,A,41,1060 Brickell Avenue,2509,1060 Brickell,"$1,800 ",0,1,0,551,,Condo,2008,1,Yes,No, $3.27 ,3/14/2017 14:34,1,For Rent,Month,Furnished
1,A10229153,A,41,1060 Brickell Avenue,2309,1060 Brickell,"$1,750 ",0,1,0,551,,Condo,2008,1,Yes,No, $3.18 ,2/21/2017 16:25,22,For Rent,Year,Unfurnished
1,A10241677,A,41,1060 Brickell Avenue,1509,1060 Brickell,"$1,750 ",0,1,0,551,,Condo,2008,1,Yes,No, $3.18 ,3/15/2017 11:03,0,For Rent,Month,Unfurnished
